id,name,Open,Close,High,Low,data_volume,data_datetime,timeframe,Name,Return,Up,Down,avg_14up,avg_14down,RS_14,RSI,5MA,15MA,12Ewm,26Ewm,MACD,low_14,high_14,k_percent,r_percent,B_MA,BU,BL
52974,EURUSD,1.06203,1.06106,1.06204,1.06018,0.0,2023-01-05 02:00:00.000,4h,EURUSD,-0.0009231784368153237,0.0,0.0009231784368153237,0.0006539427337546702,0.0009884027362378246,0.6616156651323978,39.81761119709233,1.06113,1.0602693333333333,1.060227100137464,1.0601007121810617,0.00012638795640218525,1.05196,1.06836,55.48780487804819,-44.51219512195181,1.0618345,1.0724039265641392,1.0512650734358608
52975,EURUSD,1.0611,1.06234,1.06291,1.05905,0.0,2023-01-05 06:00:00.000,4h,EURUSD,0.001205613784534855,0.001205613784534855,0.0,0.0007400580040785884,0.000985722539939931,0.7507771955013699,42.88250940385193,1.0613839999999999,1.0600226666666666,1.060552161654777,1.060266585352835,0.00028557630194203654,1.05196,1.06836,63.29268292682973,-36.70731707317027,1.0620854999999998,1.0724397566380357,1.0517312433619639
52976,EURUSD,1.06238,1.05525,1.0626,1.05515,0.0,2023-01-05 10:00:00.000,4h,EURUSD,-0.006696316561122961,0.0,0.006696316561122961,0.0007393879455757864,0.0014640308657344282,0.5050357631666965,33.55639616855797,1.06022,1.059306,1.0597364444771191,1.0598949864378102,-0.00015854196069109427,1.05196,1.06804,20.4601990049751,-79.5398009950249,1.061356,1.0714627864641326,1.0512492135358673
52977,EURUSD,1.05526,1.053,1.05676,1.05151,0.0,2023-01-05 14:00:00.000,4h,EURUSD,-0.0021344725286327124,0.0,0.0021344725286327124,0.0007152700247937503,0.0016164931892081933,0.4424825477576624,30.675071143529678,1.058738,1.0584386666666667,1.0587000684037162,1.059384246701676,-0.0006841782979598587,1.05151,1.06679,9.751308900523528,-90.24869109947647,1.06052,1.0704787274604526,1.0505612725395472
52978,EURUSD,1.05302,1.05217,1.05433,1.05157,0.0,2023-01-05 18:00:00.000,4h,EURUSD,-0.0007885349335273045,0.0,0.0007885349335273045,0.0007152700247937503,0.0008922354646837495,0.8016606076595217,44.49565052659573,1.056764,1.057492,1.057695442495452,1.0588498580571075,-0.0011544155616554086,1.05151,1.06353,5.4908485856913245,-94.50915141430868,1.0597340000000002,1.06972491039527,1.0497430896047304
52979,EURUSD,1.05225,1.05253,1.05328,1.05187,0.0,2023-01-05 22:00:00.000,4h,EURUSD,0.0003420915128148558,0.0003420915128148558,0.0,0.0006544302058666426,0.0008922354646837495,0.7334725324985862,42.31232504396111,1.055058,1.057342,1.0569007590346133,1.0583817204232477,-0.0014809613886344053,1.05151,1.06353,8.485856905158144,-91.51414309484186,1.0589665,1.0686770049464887,1.0492559950535112
52980,EURUSD,1.05252,1.05146,1.05366,1.0511,0.0,2023-01-06 02:00:00.000,4h,EURUSD,-0.0010171151880426221,0.0,0.0010171151880426221,0.0006544302058666426,0.0008701303433305106,0.7521059469800189,42.92582581985814,1.0528819999999999,1.0570366666666666,1.0560637191831344,1.057869000391896,-0.0018052812087616665,1.0511,1.06353,2.8962188254234373,-97.10378117457657,1.0582375000000002,1.0679011091655892,1.048573890834411
52981,EURUSD,1.0515,1.05075,1.0531,1.04966,0.0,2023-01-06 06:00:00.000,4h,EURUSD,-0.000675479639994224,0.0,0.000675479639994224,0.0006381773547755683,0.0009183788890443837,0.6948954972599836,40.999312251603214,1.051982,1.0567773333333335,1.0552462239241907,1.0573416670295335,-0.00209544310534282,1.04966,1.06353,7.85868781542921,-92.1413121845708,1.057475,1.0669647007883611,1.0479852992116387
52982,EURUSD,1.05076,1.05427,1.05452,1.04825,0.0,2023-01-06 10:00:00.000,4h,EURUSD,0.0033443893938444394,0.0033443893938444394,0.0,0.0007539317341933488,0.0009183788890443837,0.8209375707425616,45.08323535813426,1.0522360000000002,1.0567366666666667,1.0550960356281613,1.0571141361384568,-0.002018100510295495,1.04825,1.06353,39.397905759162725,-60.60209424083728,1.056888,1.0655730497074596,1.0482029502925405
52983,EURUSD,1.05425,1.06376,1.06381,1.05012,0.0,2023-01-06 14:00:00.000,4h,EURUSD,0.008961217269379873,0.008961217269379873,0.0,0.0013784733202414484,0.0009183788890443837,1.5009854175500643,60.01576046854411,1.054554,1.0572073333333334,1.056428953223829,1.0576064223504231,-0.0011774691265942216,1.04825,1.06381,99.6786632390753,-0.3213367609247006,1.0567575000000002,1.064904419017253,1.0486105809827475
