Date,Open,High,Low,Close,Adj Close,Volume,Name,Return,Up,Down,avg_14up,avg_14down,RS_14,RSI,5MA,15MA,12Ewm,26Ewm,MACD,low_14,high_14,k_percent,r_percent,B_MA,BU,BL,dec_rsi,Signal_RSI_fuzz_system,dec_will,Signal_william_fuzz_system,prev_5MA,crossover,cross_MA,diff_MA,diff_MA_prev,fuzz_MA_strategy,Signal_Line,MACD_decision,diff_MACD,diff_MACD_prev,fuzz_MACD_strategy,dec_bollinger,diff_cl_BU,diff_cl_BL,prev_diff_cl_BU,prev_diff_cl_BL,fuzz_BB_strategy
2018-02-28,1.2222100496292114,1.224289894104004,1.2189176082611084,1.2230321168899536,1.2230321168899536,0,EURUSD=X,-0.0069464052305481,0.0,0.0069464052305481,0.0018726072237453,0.0020930994116849,0.894657565374741,47.22001388138907,1.2288304090499875,1.2333162864049276,1.2327299959706937,1.2357632262853953,-0.0030332303147015,1.2189176082611084,1.2558081150054932,11.153299295547082,-88.84670070445291,1.235610842704773,1.2524655230184478,1.218756162391098,0,0,1,1,,,0,-0.004485877354940104,,0,-0.0030332303147015,0,0.0,,1,0,-0.02943340612849421,0.004275954498855539,,,0
2018-03-01,1.2190959453582764,1.2221801280975342,1.2157995700836182,1.2191256284713743,1.2191256284713743,0,EURUSD=X,-0.0031992132841514,0.0,0.0031992132841514,0.0018726072237453,0.0022786873709076,0.8217920754085002,45.108993858381446,1.227018666267395,1.2328037738800048,1.2306370163554137,1.2345308116325049,-0.0038937952770912,1.2157995700836182,1.2558081150054932,8.313370041952153,-91.68662995804785,1.2344738304615022,1.2525739155066553,1.216373745416349,0,0,1,1,1.2288304090499875,,0,-0.005785107612609863,-0.004485877354940104,0,-0.00320534330717944,0,-0.0006884519699117599,0.0,0,0,-0.03344828703528102,0.0027518830550252726,-0.02943340612849421,0.004275954498855539,0
2018-03-02,1.227129340171814,1.2330456972122192,1.2252799272537231,1.2270842790603638,1.2270842790603638,0,EURUSD=X,0.0065069466405746,0.0065069466405746,0.0,0.0023373891266435,0.0022322805177121,1.047085752931771,51.15006791641084,1.2259023904800417,1.2328709761301675,1.2300904413869445,1.233979216627161,-0.0038887752402165,1.2157995700836182,1.2558081150054932,28.20574704424104,-71.79425295575896,1.2332780003547668,1.249878723196512,1.2166772775130217,0,0,0,0,1.227018666267395,,0,-0.006968585650125814,-0.005785107612609863,0,-0.0033420296937868525,0,-0.0005467455464296476,-0.0006884519699117599,0,0,-0.022794444136148284,0.010407001547342087,-0.03344828703528102,0.0027518830550252726,0
2018-03-05,1.231845736503601,1.2348270416259766,1.2275512218475342,1.2315422296524048,1.2315422296524048,0,EURUSD=X,0.0036263787619992,0.0036263787619992,0.0,0.0022999804352364,0.0022322805177121,1.0303276926834264,50.74686694154634,1.2264683246612549,1.2332884629567464,1.2303137934277846,1.2337986990734753,-0.0034849056456907,1.2157995700836182,1.2558081150054932,39.348243230358506,-60.65175676964149,1.2326203882694244,1.248335295783021,1.216905480755828,0,0,0,0,1.2259023904800417,,0,-0.006820138295491551,-0.006968585650125814,0,-0.003370604884167622,0,-0.00011430076152307801,-0.0005467455464296476,-1,0,-0.016793066130616152,0.014636748896576846,-0.022794444136148284,0.010407001547342087,0
2018-03-06,1.2337758541107178,1.2419891357421875,1.233121633529663,1.2336541414260864,1.2336541414260864,0,EURUSD=X,0.0017133826052289,0.0017133826052289,0.0,0.0021326406122264,0.0022322805177121,0.9553640751262884,48.8586287985569,1.2268876791000367,1.2335070371627808,1.230827693119831,1.2337879910995946,-0.0029602979797636,1.2157995700836182,1.2558081150054932,44.626895022883296,-55.373104977116704,1.2324640035629273,1.248066391300608,1.2168616158252463,0,0,0,0,1.2264683246612549,,0,-0.006619358062744052,-0.006820138295491551,0,-0.003288543503286818,1,0.0003282455235232183,-0.00011430076152307801,0,0,-0.01441224987452161,0.016792525600840102,-0.016793066130616152,0.014636748896576846,0
2018-03-07,1.2419275045394895,1.2440595626831057,1.2386049032211304,1.2416653633117676,1.2416653633117676,0,EURUSD=X,0.0064729016531508,0.0064729016531508,0.0,0.0019416746279371,0.0022322805177121,0.8698165900436289,46.51881872667165,1.230614328384399,1.2339263121287027,1.2324950269955135,1.234371500152348,-0.0018764731568345,1.2157995700836182,1.2558081150054932,64.65067219679635,-35.349327803203664,1.2326407968997954,1.2485897680416045,1.2166918257579864,0,0,0,0,1.2268876791000367,,0,-0.003311983744303637,-0.006619358062744052,0,-0.0030061294339963547,0,0.0011296562771618546,0.0003282455235232183,0,0,-0.006924404729836908,0.024973537553781178,-0.01441224987452161,0.016792525600840102,0
2018-03-08,1.2416189908981323,1.24447762966156,1.2306329011917114,1.2414649724960327,1.2414649724960327,0,EURUSD=X,-0.0001614017704026,0.0,0.0001614017704026,0.0017338787570034,0.002243809215598,0.7727389409715907,43.59011488448904,1.235082197189331,1.2335754871368407,1.233875018610978,1.2348969425481766,-0.0010219239371984,1.2157995700836182,1.24447762966156,89.49490582743412,-10.505094172565874,1.2333733797073363,1.2495398100084385,1.2172069494062343,0,0,-1,-1,1.230614328384399,bullish crossover,1,0.0015067100524903676,-0.003311983744303637,0,-0.002609288334636764,0,0.001587364397438364,0.0011296562771618546,0,0,-0.008074837512405786,0.02425802308979841,-0.006924404729836908,0.024973537553781178,0
2018-03-09,1.2307844161987305,1.2333801984786987,1.2275512218475342,1.2306632995605469,1.2306632995605469,0,EURUSD=X,-0.0087388197436309,0.0,0.0087388197436309,0.0017338787570034,0.0023421179763104,0.7403037654554301,42.53876709056569,1.2357980012893677,1.232262404759725,1.2333809079878348,1.234583339363908,-0.001202431376073,1.2157995700836182,1.24447762966156,51.82962060780899,-48.170379392191016,1.2336027324199677,1.2494604769125022,1.2177449879274331,0,0,0,0,1.235082197189331,,0,0.0035355965296426373,0.0015067100524903676,0,-0.002327916942924011,0,0.0011254855668510113,0.001587364397438364,0,0,-0.018797177351955296,0.012918311633113744,-0.008074837512405786,0.02425802308979841,0
2018-03-12,1.2308601140975952,1.2342007160186768,1.229135513305664,1.2308752536773682,1.2308752536773682,0,EURUSD=X,0.0001722127139274,0.0001722127139274,0.0,0.0017461796651411,0.00226591402118,0.7706292687274232,43.52290354272103,1.2356646060943604,1.2315749168395995,1.2329954227093016,1.2343086663500902,-0.0013132436407885,1.2157995700836182,1.24447762966156,52.5687017030457,-47.4312982969543,1.23388249874115,1.2493136903751962,1.2184513071071037,0,0,0,0,1.2357980012893677,,0,0.004089689254760831,0.0035355965296426373,0,-0.0021249822824969088,0,0.0008117386417084088,0.0011254855668510113,0,0,-0.018438436697828076,0.012423946570264466,-0.018797177351955296,0.012918311633113744,0
2018-03-13,1.2338672876358032,1.2398948669433594,1.231496810913086,1.2339584827423096,1.2339584827423096,0,EURUSD=X,0.0025017757810718,0.0025017757810718,0.0,0.0019248779352177,0.0019002112352973,1.012981030457125,50.32243300509834,1.235725474357605,1.2311812082926432,1.233143585791303,1.234282726823588,-0.0011391410322854,1.2157995700836182,1.24447762966156,63.319879119919854,-36.68012088008014,1.2340616464614869,1.2494043492457556,1.218718943677218,0,0,0,0,1.2356646060943604,,0,0.004544266064961722,0.004089689254760831,0,-0.001927814032454607,0,0.000788673000169207,0.0008117386417084088,0,0,-0.015445866503446037,0.015239539065091678,-0.018438436697828076,0.012423946570264466,0
